id,name,type,criticality
COMP_00424,Component TABLE 33,Metal,High
COMP_00425,Component ENOUGH 78,Electronic,High
COMP_00426,Component DINNER 72,Electronic,Medium
COMP_00427,Component DAY 85,Plastic,Medium
COMP_00428,Component FINISH 66,Plastic,Medium
COMP_00429,Component WORKER 81,Metal,High
COMP_00430,Component ACCORDING 90,Metal,Medium
COMP_00431,Component OUR 92,Chemical,Medium
COMP_00432,Component SEAT 76,Electronic,Medium
COMP_00433,Component REST 27,Plastic,Medium
COMP_00434,Component LOSS 94,Chemical,Medium
COMP_00435,Component ARGUE 90,Electronic,Low
COMP_00436,Component FULL 21,Plastic,High
COMP_00437,Component GROUND 45,Chemical,Low
COMP_00438,Component GREEN 64,Chemical,High
COMP_00439,Component STRATEGY 64,Metal,Low
COMP_00440,Component ALL 37,Chemical,Low
COMP_00441,Component BREAK 65,Metal,High
COMP_00442,Component RUN 46,Plastic,Medium
COMP_00443,Component REMEMBER 69,Metal,Medium
COMP_00444,Component TERM 27,Plastic,Medium
COMP_00445,Component DECISION 51,Chemical,Medium
COMP_00446,Component DESIGN 86,Chemical,Medium
COMP_00447,Component DAY 18,Electronic,High
COMP_00448,Component TEAM 46,Metal,High
COMP_00449,Component YOU 35,Metal,Medium
COMP_00450,Component STAGE 36,Chemical,Low
COMP_00451,Component FILL 18,Plastic,Medium
COMP_00452,Component TREAT 73,Electronic,Medium
COMP_00453,Component VIEW 97,Chemical,Medium
COMP_00454,Component DREAM 94,Electronic,High
COMP_00455,Component SKIN 43,Plastic,Medium
COMP_00456,Component BEHIND 89,Plastic,High
COMP_00457,Component SPEAK 88,Chemical,Low
COMP_00458,Component MANY 43,Electronic,High
COMP_00459,Component SHARE 68,Chemical,Medium
COMP_00460,Component CENTER 20,Plastic,Low
COMP_00461,Component RETURN 28,Chemical,Medium
COMP_00462,Component MESSAGE 13,Plastic,Low
COMP_00463,Component SCENE 56,Metal,High
COMP_00464,Component FIGHT 38,Metal,Low
COMP_00465,Component PREVENT 69,Chemical,High
COMP_00466,Component YEAR 99,Chemical,Low
COMP_00467,Component KNOWLEDGE 99,Electronic,Medium
COMP_00468,Component SAFE 68,Metal,Low
COMP_00469,Component DOOR 75,Chemical,Medium
COMP_00470,Component BIG 53,Metal,Low
COMP_00471,Component MORE 94,Chemical,Low
COMP_00472,Component MOVE 61,Electronic,Medium
COMP_00473,Component HEART 42,Metal,High
COMP_00474,Component EASY 88,Plastic,Medium
COMP_00475,Component SIZE 92,Metal,Low
COMP_00476,Component EVEN 67,Electronic,High
COMP_00477,Component AGAIN 11,Plastic,Medium
COMP_00478,Component SOURCE 43,Chemical,Low
COMP_00479,Component CHECK 17,Chemical,High
COMP_00480,Component INCLUDE 77,Chemical,Low
COMP_00481,Component WALL 10,Metal,High
COMP_00482,Component CAPITAL 63,Metal,Low
COMP_00483,Component THE 54,Chemical,High
COMP_00484,Component RESOURCE 41,Metal,Medium
COMP_00485,Component ANYTHING 43,Electronic,High
COMP_00486,Component CAN 67,Chemical,Low
COMP_00487,Component GLASS 79,Metal,Medium
COMP_00488,Component SKILL 20,Metal,High
COMP_00489,Component NEAR 81,Metal,Medium
COMP_00490,Component THREE 41,Electronic,Low
COMP_00491,Component FRONT 82,Chemical,High
COMP_00492,Component TRUTH 68,Metal,Medium
COMP_00493,Component CIVIL 48,Electronic,Medium
COMP_00494,Component I 73,Plastic,High
COMP_00495,Component DESPITE 77,Electronic,Medium
COMP_00496,Component WEIGHT 74,Metal,Low
COMP_00497,Component CONDITION 45,Metal,Low
COMP_00498,Component DETAIL 76,Electronic,Low
COMP_00499,Component WIDE 69,Chemical,Low
COMP_00500,Component BECAUSE 24,Chemical,Medium
COMP_00501,Component ANY 47,Metal,High
COMP_00502,Component LIGHT 71,Plastic,Low
COMP_00503,Component SCIENTIST 71,Chemical,Low
COMP_00504,Component STREET 44,Metal,Medium
COMP_00505,Component NATURE 54,Electronic,Medium
COMP_00506,Component THUS 13,Chemical,Medium
COMP_00507,Component SEAT 17,Plastic,High
COMP_00508,Component PRODUCT 11,Plastic,Low
COMP_00509,Component WHOM 23,Chemical,Medium
COMP_00510,Component GREAT 66,Electronic,Medium
COMP_00511,Component MANAGER 88,Plastic,High
COMP_00512,Component MATTER 81,Chemical,Medium
COMP_00513,Component MY 34,Plastic,Low
COMP_00514,Component RISE 71,Metal,Low
COMP_00515,Component OFFICIAL 78,Plastic,Medium
COMP_00516,Component FATHER 58,Metal,Low
COMP_00517,Component KID 27,Electronic,High
COMP_00518,Component CHANCE 71,Electronic,Low
COMP_00519,Component ALMOST 80,Metal,Low
COMP_00520,Component HOT 79,Electronic,High
COMP_00521,Component THOSE 44,Electronic,Low
COMP_00522,Component FILL 35,Plastic,High
COMP_00523,Component CENTER 99,Chemical,Medium
COMP_00524,Component AFFECT 55,Metal,Low
COMP_00525,Component SO 59,Chemical,High
COMP_00526,Component SAME 39,Plastic,High
COMP_00527,Component BEGIN 80,Plastic,Medium
COMP_00528,Component BELIEVE 45,Electronic,High
COMP_00529,Component NATIONAL 79,Chemical,Medium
COMP_00530,Component KIND 91,Electronic,Low
COMP_00531,Component INCLUDING 74,Metal,Low
COMP_00532,Component TWO 98,Electronic,High
COMP_00533,Component MRS 22,Chemical,High
COMP_00534,Component CONSUMER 73,Chemical,High
COMP_00535,Component MANY 45,Chemical,Medium
COMP_00536,Component COMMUNITY 95,Metal,Low
COMP_00537,Component INSIDE 55,Chemical,Medium
COMP_00538,Component DREAM 41,Metal,High
COMP_00539,Component SITUATION 31,Metal,Medium
COMP_00540,Component FLOOR 11,Chemical,High
COMP_00541,Component ANY 90,Chemical,Medium
COMP_00542,Component BASE 68,Chemical,Low
COMP_00543,Component STATEMENT 14,Plastic,Low
COMP_00544,Component MR 84,Plastic,Low
COMP_00545,Component OFFER 67,Chemical,Low
COMP_00546,Component BEST 91,Metal,Low
COMP_00547,Component FEAR 65,Electronic,High
COMP_00548,Component OTHER 16,Plastic,Medium
COMP_00549,Component LEFT 39,Chemical,High
COMP_00550,Component TAKE 41,Metal,High
COMP_00551,Component SENSE 12,Electronic,Medium
COMP_00552,Component LESS 48,Chemical,Low
COMP_00553,Component SEVERAL 26,Electronic,Medium
COMP_00554,Component ESTABLISH 85,Electronic,High
COMP_00555,Component BOX 32,Metal,High
COMP_00556,Component OFTEN 93,Chemical,High
COMP_00557,Component WHETHER 67,Metal,Low
COMP_00558,Component BAD 94,Plastic,High
COMP_00559,Component TERM 25,Plastic,High
COMP_00560,Component MOST 29,Chemical,High
COMP_00561,Component RISK 96,Plastic,High
COMP_00562,Component TREE 23,Electronic,High
COMP_00563,Component CARD 52,Electronic,Low
COMP_00564,Component MAJOR 10,Metal,High
COMP_00565,Component BASE 37,Electronic,Medium
COMP_00566,Component RADIO 90,Metal,Low
COMP_00567,Component HEART 95,Electronic,High
COMP_00568,Component WEEK 62,Electronic,Low
COMP_00569,Component STRONG 49,Metal,Low
COMP_00570,Component SMILE 24,Plastic,High
COMP_00571,Component USUALLY 39,Plastic,High
COMP_00572,Component BOARD 86,Chemical,Low
COMP_00573,Component STAGE 11,Electronic,Medium
COMP_00574,Component DAUGHTER 50,Chemical,Low
COMP_00575,Component SOCIAL 71,Metal,High
COMP_00576,Component BREAK 16,Electronic,Medium
COMP_00577,Component PERFORMANCE 99,Plastic,High
COMP_00578,Component EXPERIENCE 49,Plastic,Medium
COMP_00579,Component NEVER 34,Metal,High
