id,name,tier,country_id,esg_score,carbon_intensity
SUP_T1_00096,Rodriguez Inc Mfg,1,PL,89.7,176.2
SUP_T1_00097,"Hernandez, Lee and Fox Mfg",1,HN,87.7,107.5
SUP_T1_00098,Adams-Sanders Mfg,1,TW,70.1,29.7
SUP_T1_00099,Chung-Stevens Mfg,1,LK,56.9,173.2
SUP_T1_00100,Branch and Sons Mfg,1,SO,76.0,83.0
SUP_T1_00101,Sutton-Abbott Mfg,1,TW,57.0,466.4
SUP_T1_00102,"Frey, Santos and Johnson Mfg",1,MN,58.1,495.4
SUP_T1_00103,Gray-Tran Mfg,1,ZW,79.7,258.6
SUP_T1_00104,Walsh Ltd Mfg,1,TW,76.6,357.3
SUP_T1_00105,Miller Group Mfg,1,ZW,73.7,18.2
SUP_T1_00106,"Mueller, Knight and Hodge Mfg",1,IQ,83.7,490.2
SUP_T1_00107,Jacobson Inc Mfg,1,MM,89.8,365.4
SUP_T1_00108,Lewis Ltd Mfg,1,GR,79.8,140.1
SUP_T1_00109,"Alvarez, Williams and Jones Mfg",1,MT,86.1,295.9
SUP_T1_00110,Lam-Elliott Mfg,1,GM,76.2,363.4
SUP_T1_00111,White LLC Mfg,1,IR,57.4,343.6
SUP_T1_00112,Ali PLC Mfg,1,LK,78.6,353.3
SUP_T1_00113,Goodwin Ltd Mfg,1,LY,50.9,163.7
SUP_T1_00114,Hickman-Evans Mfg,1,DJ,70.6,109.9
SUP_T1_00115,"Allen, Davenport and Price Mfg",1,SA,88.7,461.1
SUP_T1_00116,"Rivera, Campos and Taylor Mfg",1,UA,85.3,264.2
SUP_T1_00117,"Ramsey, Mason and Mccann Mfg",1,GE,99.9,244.4
SUP_T1_00118,Davis and Sons Mfg,1,IR,65.7,94.9
SUP_T1_00119,Peterson PLC Mfg,1,MV,67.1,183.6
SUP_T1_00120,"Sanders, Ayala and Johnson Mfg",1,FI,80.5,104.2
SUP_T1_00121,Bowers-Hayes Mfg,1,YE,64.0,156.3
SUP_T1_00122,Kelly Group Mfg,1,ZW,88.6,355.4
SUP_T1_00123,Lopez-Willis Mfg,1,NP,65.9,180.9
SUP_T1_00124,Miller-Montgomery Mfg,1,HR,64.4,291.0
SUP_T1_00125,Marquez Inc Mfg,1,SM,69.0,490.3
SUP_T1_00126,Moore-Dawson Mfg,1,BN,97.7,404.3
SUP_T1_00127,"Moore, Price and Ward Mfg",1,BZ,52.1,478.1
SUP_T1_00128,Smith LLC Mfg,1,HT,67.3,226.8
SUP_T1_00129,Ward-Nelson Mfg,1,ML,87.4,114.9
SUP_T1_00130,Miller Group Mfg,1,MV,63.6,285.4
SUP_T1_00131,Hawkins-Hunt Mfg,1,BJ,56.9,311.7
SUP_T1_00132,Johnson LLC Mfg,1,TG,62.1,338.2
SUP_T1_00133,"Davis, George and Nguyen Mfg",1,UG,61.3,124.1
SUP_T1_00134,Smith-Gutierrez Mfg,1,TJ,70.7,361.5
SUP_T1_00135,Hardy PLC Mfg,1,TJ,84.1,77.4
SUP_T1_00136,Armstrong and Sons Mfg,1,NO,70.3,468.2
SUP_T1_00137,"James, Taylor and Turner Mfg",1,SO,73.9,107.7
SUP_T1_00138,Thomas-Jackson Mfg,1,JP,66.1,326.5
SUP_T1_00139,Fisher-Washington Mfg,1,UY,82.6,123.8
SUP_T1_00140,Ward and Sons Mfg,1,LK,95.7,95.8
SUP_T1_00141,"Weber, Wheeler and Gonzalez Mfg",1,LU,96.7,27.8
SUP_T1_00142,Taylor Inc Mfg,1,LA,89.4,101.3
SUP_T1_00143,Cook-Oliver Mfg,1,BZ,93.8,14.5
SUP_T1_00144,Alexander-Jordan Mfg,1,VC,96.4,174.2
SUP_T1_00145,"Mccann, Taylor and Flores Mfg",1,CU,99.5,276.2
SUP_T1_00146,"Harris, Edwards and Oconnell Mfg",1,TV,94.5,75.8
SUP_T1_00147,Carter-Neal Mfg,1,SA,73.4,104.5
SUP_T1_00148,Faulkner-Casey Mfg,1,ME,66.5,368.2
SUP_T1_00149,Bennett-Velasquez Mfg,1,ML,85.9,16.9
SUP_T1_00150,Diaz-Frederick Mfg,1,KZ,89.5,288.2
SUP_T1_00151,Vargas PLC Mfg,1,LY,58.8,429.5
SUP_T1_00152,Maldonado PLC Mfg,1,BG,91.3,262.5
SUP_T1_00153,Benton Group Mfg,1,UY,70.0,56.7
SUP_T1_00154,"Clark, Salinas and Guerra Mfg",1,IT,73.9,468.6
SUP_T1_00155,Fuentes Group Mfg,1,DZ,63.0,125.4
SUP_T1_00156,"Porter, Schultz and Allen Mfg",1,BJ,97.7,158.0
SUP_T1_00157,"Moore, Henderson and Bennett Mfg",1,AR,63.1,186.2
SUP_T1_00158,Ewing-Mendoza Mfg,1,TG,53.1,67.9
SUP_T1_00159,Ferguson-Mclean Mfg,1,MM,58.0,346.2
SUP_T1_00160,"Barnes, Johnson and Schmitt Mfg",1,MM,84.5,323.0
SUP_T1_00161,"Woodard, Herrera and Little Mfg",1,BZ,68.4,118.2
SUP_T1_00162,Rodriguez and Sons Mfg,1,IT,73.9,232.9
SUP_T1_00163,"Ortega, Jackson and Salazar Mfg",1,PL,70.8,279.1
SUP_T1_00164,"Terrell, Byrd and Ross Mfg",1,SO,87.9,403.0
SUP_T1_00165,Sheppard-Jordan Mfg,1,PK,88.1,343.4
SUP_T1_00166,Garcia and Sons Mfg,1,HT,76.3,268.8
SUP_T1_00167,"Burgess, Grant and Watts Mfg",1,HN,53.9,286.4
SUP_T1_00168,Griffin Group Mfg,1,UA,91.4,452.4
SUP_T1_00169,Barton-Chapman Mfg,1,IN,78.6,83.4
SUP_T1_00170,"Hernandez, Cuevas and Webb Mfg",1,GE,92.7,226.5
SUP_T1_00171,Perry-Nixon Mfg,1,BD,85.8,249.5
SUP_T1_00172,Guerra Ltd Mfg,1,TW,72.3,37.3
SUP_T1_00173,Bailey LLC Mfg,1,PE,75.7,233.8
SUP_T1_00174,Mueller-Boyd Mfg,1,UA,77.9,339.7
SUP_T1_00175,Alvarez-Kim Mfg,1,MM,86.2,204.0
SUP_T1_00176,"Chavez, Jones and Williams Mfg",1,DZ,87.3,293.4
SUP_T1_00177,"Wilson, Sweeney and Wong Mfg",1,GD,71.2,353.2
SUP_T1_00178,"Marsh, Spears and Yang Mfg",1,SM,99.7,467.9
SUP_T1_00179,"Thompson, Moore and Castro Mfg",1,AU,99.3,241.3
SUP_T1_00180,Hall-Sullivan Mfg,1,JP,70.4,386.8
SUP_T1_00181,Lopez Ltd Mfg,1,GH,68.7,446.8
SUP_T1_00182,Foster-Mclaughlin Mfg,1,CV,93.5,454.3
SUP_T1_00183,Cole Group Mfg,1,IR,54.0,482.4
SUP_T1_00184,Smith-Lewis Mfg,1,SM,56.6,431.5
SUP_T1_00185,Goodwin-Stokes Mfg,1,NL,58.9,273.3
SUP_T1_00186,Ray PLC Mfg,1,UG,56.4,489.6
SUP_T1_00187,Diaz and Sons Mfg,1,DZ,87.8,489.5
SUP_T1_00188,Wilson-Lambert Mfg,1,CH,83.7,276.8
SUP_T1_00189,Rose-Fowler Mfg,1,MV,69.0,122.5
SUP_T1_00190,"Price, Long and Wilson Mfg",1,CU,67.3,145.1
SUP_T1_00191,Bruce-Williamson Mfg,1,ME,51.6,333.5
SUP_T1_00192,"Mccarthy, Evans and Mendez Mfg",1,IS,62.0,43.0
SUP_T1_00193,Powers LLC Mfg,1,LK,72.3,339.3
SUP_T1_00194,Allen Inc Mfg,1,ST,62.2,31.7
SUP_T1_00195,Brooks and Sons Mfg,1,BA,61.7,116.5
SUP_T1_00196,"Price, Carlson and Andrews Mfg",1,UA,57.0,496.8
SUP_T1_00197,Lopez-Reid Mfg,1,MT,90.8,368.4
SUP_T1_00198,"Ellison, Arias and Thompson Mfg",1,MN,78.9,388.5
SUP_T1_00199,Burns and Sons Mfg,1,GE,61.8,439.4
SUP_T1_00200,Edwards Group Mfg,1,CG,61.1,157.2
SUP_T1_00201,"Brown, Howard and Smith Mfg",1,UA,77.8,299.9
SUP_T1_00202,Lee Group Mfg,1,LU,81.3,219.3
SUP_T1_00203,"Wagner, Simpson and Cohen Mfg",1,TV,52.3,178.8
SUP_T1_00204,Mckinney-Wallace Mfg,1,IR,89.3,166.2
SUP_T1_00205,Miller Inc Mfg,1,GH,70.4,156.9
SUP_T1_00206,Carter LLC Mfg,1,BY,87.7,242.0
SUP_T1_00207,Medina and Sons Mfg,1,CM,65.0,356.7
SUP_T1_00208,Cunningham-Barton Mfg,1,CH,95.7,285.6
SUP_T1_00209,Dunn-Wilson Mfg,1,GH,77.9,75.7
SUP_T1_00210,Adams PLC Mfg,1,YE,62.7,171.8
SUP_T1_00211,Weaver-Sherman Mfg,1,HT,96.1,425.1
SUP_T1_00212,"Alexander, Robinson and Coleman Mfg",1,UY,76.8,416.4
SUP_T1_00213,"Greer, Potter and Evans Mfg",1,ST,63.4,340.1
SUP_T1_00214,Cole LLC Mfg,1,GD,93.7,102.2
SUP_T1_00215,Gonzales Inc Mfg,1,PK,74.0,436.0
SUP_T1_00216,Clark Ltd Mfg,1,IQ,65.2,455.4
SUP_T1_00217,"Norris, Callahan and Bishop Mfg",1,PK,96.9,481.4
SUP_T1_00218,Martin-Taylor Mfg,1,NL,87.3,379.6
SUP_T1_00219,Li Inc Mfg,1,YE,84.8,354.8
SUP_T1_00220,"Bell, Campbell and Ryan Mfg",1,LA,95.8,280.5
SUP_T1_00221,Werner-Carter Mfg,1,JP,69.0,271.5
SUP_T1_00222,"Adams, Hodge and Duke Mfg",1,SN,65.4,186.2
SUP_T1_00223,"Ochoa, Taylor and Brady Mfg",1,TV,73.3,403.4
SUP_T1_00224,Sellers-Riddle Mfg,1,SO,88.1,166.9
SUP_T1_00225,"Martinez, Cline and Wright Mfg",1,BD,68.5,212.8
SUP_T1_00226,"Morris, Wright and Bridges Mfg",1,CM,87.1,17.9
SUP_T1_00227,Burns-Ray Mfg,1,GH,64.8,106.1
SUP_T1_00228,Burton-Brooks Mfg,1,MT,69.0,418.3
SUP_T1_00229,Schultz Inc Mfg,1,TV,77.5,472.3
SUP_T1_00230,Robertson-Ramirez Mfg,1,KZ,62.9,412.6
SUP_T1_00231,Gibson-Freeman Mfg,1,NP,73.0,369.1
SUP_T1_00232,"Smith, Schroeder and Oconnor Mfg",1,SN,58.5,363.0
SUP_T1_00233,"Stanton, Reid and Terry Mfg",1,NP,59.2,445.8
SUP_T1_00234,Flynn Group Mfg,1,UA,76.2,421.1
SUP_T1_00235,Donaldson and Sons Mfg,1,BW,97.3,337.4
SUP_T1_00236,Adams-Clayton Mfg,1,DZ,70.6,422.8
SUP_T1_00237,Kelley-Anderson Mfg,1,MT,53.4,84.0
SUP_T1_00238,Kramer-Shannon Mfg,1,PK,75.3,192.9
SUP_T1_00239,Williams Ltd Mfg,1,AE,83.0,17.7
SUP_T1_00240,Smith-Noble Mfg,1,MV,77.6,15.8
SUP_T1_00241,Alexander Inc Mfg,1,UG,86.1,272.5
SUP_T1_00242,Harris-Barker Mfg,1,JP,50.9,408.4
SUP_T1_00243,Khan LLC Mfg,1,SB,90.3,455.8
SUP_T1_00244,Baxter LLC Mfg,1,VC,95.9,266.9
SUP_T1_00245,Pena LLC Mfg,1,TG,59.6,268.0
SUP_T1_00246,Watson Ltd Mfg,1,SN,63.4,204.5
SUP_T1_00247,Williams Ltd Mfg,1,PL,98.0,234.9
SUP_T1_00248,Barber-Fischer Mfg,1,YE,99.5,120.7
SUP_T1_00249,Rios-Padilla Mfg,1,HT,82.7,430.5
SUP_T1_00250,Lewis Inc Mfg,1,LK,54.7,195.8
SUP_T1_00251,Wheeler PLC Mfg,1,SO,52.8,14.6
SUP_T1_00252,"Wallace, Smith and Cooper Mfg",1,GM,54.1,424.2
SUP_T1_00253,Mcneil Group Mfg,1,IQ,78.3,430.4
SUP_T1_00254,"Anderson, Jones and Reyes Mfg",1,TJ,94.7,460.4
SUP_T1_00255,"Shaffer, Garcia and Richardson Mfg",1,MT,60.6,435.4
SUP_T1_00256,Taylor-Ayala Mfg,1,SO,63.6,462.8
SUP_T1_00257,May Ltd Mfg,1,HR,95.0,286.1
SUP_T1_00258,Jones PLC Mfg,1,LK,59.0,426.7
SUP_T1_00259,Bishop and Sons Mfg,1,IS,98.1,297.6
SUP_T1_00260,Bell-Lewis Mfg,1,LA,96.4,156.6
SUP_T1_00261,"Hernandez, Jenkins and Parks Mfg",1,TG,78.3,426.2
SUP_T1_00262,Miller Inc Mfg,1,SM,66.6,380.2
SUP_T1_00263,Goodwin PLC Mfg,1,IT,89.5,347.8
SUP_T1_00264,"Cruz, Richmond and Edwards Mfg",1,HT,75.0,487.4
SUP_T1_00265,Wright Ltd Mfg,1,ST,54.9,123.8
SUP_T1_00266,Wright PLC Mfg,1,BW,67.0,386.8
SUP_T1_00267,"Griffith, Mitchell and Pugh Mfg",1,LA,98.4,169.9
SUP_T1_00268,Abbott Ltd Mfg,1,BJ,89.2,230.8
SUP_T1_00269,Harris-Lawson Mfg,1,MT,67.8,471.2
SUP_T1_00270,Adkins LLC Mfg,1,SB,59.3,297.1
SUP_T1_00271,"Brown, Hurst and Blevins Mfg",1,IR,54.3,313.1
SUP_T1_00272,Cruz-Allen Mfg,1,YE,85.7,50.2
SUP_T1_00273,"Wheeler, Rice and Levine Mfg",1,DJ,69.0,394.1
SUP_T1_00274,Peck-Anderson Mfg,1,DJ,87.0,165.2
SUP_T1_00275,"Fisher, Payne and Thompson Mfg",1,VC,54.6,472.1
SUP_T1_00276,Best-Townsend Mfg,1,BA,68.0,142.2
SUP_T1_00277,Matthews Inc Mfg,1,PE,54.4,221.2
SUP_T1_00278,Lewis-Livingston Mfg,1,TW,70.4,22.9
SUP_T1_00279,Hunter-Fuller Mfg,1,SN,77.7,302.5
SUP_T1_00280,"Wang, Henderson and Morales Mfg",1,GE,93.2,16.0
SUP_T1_00281,"Herrera, Jensen and Ramirez Mfg",1,KW,69.4,51.5
SUP_T1_00282,Miller-Mccall Mfg,1,YE,78.6,93.1
SUP_T1_00283,Herrera Group Mfg,1,IR,58.5,141.8
SUP_T1_00284,"Walters, Davenport and Becker Mfg",1,BJ,74.7,41.0
SUP_T1_00285,Collins Group Mfg,1,SB,63.8,156.9
SUP_T1_00286,"Ashley, Allen and Sanchez Mfg",1,BW,68.1,472.7
SUP_T1_00287,Wilson-Salazar Mfg,1,TV,79.7,105.8
SUP_T1_00288,Parker Ltd Mfg,1,VC,56.8,13.3
SUP_T1_00289,"Yang, Wilson and Zimmerman Mfg",1,LA,66.6,313.9
SUP_T1_00290,"Smith, Crawford and Reed Mfg",1,IQ,72.0,221.0
SUP_T1_00291,"Logan, Le and Jackson Mfg",1,IT,65.0,305.6
SUP_T1_00292,Brady LLC Mfg,1,IN,74.0,97.0
SUP_T1_00293,"Tanner, Wise and Johnson Mfg",1,LA,98.4,152.8
SUP_T1_00294,Nelson-Brown Mfg,1,NP,98.4,393.2
SUP_T1_00295,"Proctor, Burton and Crawford Mfg",1,GE,68.8,410.1
SUP_T1_00296,"Ward, Porter and Bradley Mfg",1,LA,68.3,466.7
SUP_T1_00297,Moore-Ayala Mfg,1,IN,79.6,277.4
SUP_T1_00298,"Craig, Wilson and Yang Mfg",1,GR,97.7,236.2
SUP_T1_00299,Williams Inc Mfg,1,BD,71.9,152.8
SUP_T1_00300,Williams LLC Mfg,1,AU,90.9,399.9
SUP_T1_00301,Mora-White Mfg,1,KW,83.6,78.2
SUP_T1_00302,Tran Ltd Mfg,1,ZW,62.1,332.7
SUP_T1_00303,"Rios, Walker and Wright Mfg",1,TN,89.5,46.2
SUP_T1_00304,"Flores, Mckenzie and Duncan Mfg",1,AE,79.1,271.8
SUP_T1_00305,Shaw Inc Mfg,1,GH,77.2,397.5
SUP_T1_00306,Walker PLC Mfg,1,HN,85.1,408.0
SUP_T1_00307,Finley Inc Mfg,1,HT,55.5,131.6
SUP_T1_00308,Cline-Ayala Mfg,1,SN,58.3,310.2
SUP_T1_00309,Murphy-Tran Mfg,1,BG,98.3,172.5
SUP_T1_00310,Wood LLC Mfg,1,SB,55.3,58.3
SUP_T1_00311,"Mueller, Stevenson and Sanchez Mfg",1,CM,75.5,264.2
SUP_T1_00312,Vargas-Snyder Mfg,1,CM,72.3,201.7
SUP_T1_00313,Oconnor PLC Mfg,1,SA,57.5,498.9
SUP_T1_00314,Hernandez Group Mfg,1,AE,55.2,213.8
SUP_T1_00315,Hall LLC Mfg,1,HT,55.8,470.9
SUP_T1_00316,"Franco, Wiley and Tapia Mfg",1,AF,67.4,178.1
SUP_T1_00317,Blake Group Mfg,1,BD,76.1,180.7
SUP_T1_00318,"Acosta, Garcia and Moreno Mfg",1,TJ,71.9,351.4
SUP_T1_00319,Barnes Inc Mfg,1,MN,53.4,31.9
SUP_T1_00320,Dawson Inc Mfg,1,ME,51.1,178.1
SUP_T1_00321,Morse PLC Mfg,1,VC,83.9,90.5
SUP_T1_00322,Haynes-Watson Mfg,1,YE,75.8,280.4
SUP_T1_00323,"Miller, Davis and Anderson Mfg",1,IQ,78.0,479.6
SUP_T1_00324,Jones-Bradley Mfg,1,MT,89.9,318.6
SUP_T1_00325,Bates-Anderson Mfg,1,BY,82.0,221.7
SUP_T1_00326,Green-Edwards Mfg,1,GR,86.9,442.7
SUP_T1_00327,Haynes-Moss Mfg,1,CV,79.6,200.5
SUP_T1_00328,Chavez-Hall Mfg,1,PK,60.3,378.6
SUP_T1_00329,Taylor PLC Mfg,1,AU,78.9,401.8
SUP_T1_00330,Moore and Sons Mfg,1,MV,59.3,169.7
SUP_T1_00331,Owens-Russell Mfg,1,CU,55.7,338.6
SUP_T1_00332,"Howard, Townsend and Hayes Mfg",1,NP,76.4,323.2
SUP_T1_00333,Baker-Wilson Mfg,1,TH,80.6,297.6
SUP_T1_00334,Aguirre LLC Mfg,1,BN,67.6,234.4
SUP_T1_00335,"Terry, Williams and Huff Mfg",1,LU,90.7,355.9
SUP_T1_00336,Hernandez-Dawson Mfg,1,ZW,95.9,299.2
SUP_T1_00337,Foster-Williams Mfg,1,IT,65.7,126.9
SUP_T1_00338,Green-Ewing Mfg,1,ME,59.2,349.8
SUP_T1_00339,Crane Group Mfg,1,TW,69.4,302.2
SUP_T1_00340,"Adkins, Wright and Murray Mfg",1,TH,71.2,248.5
SUP_T1_00341,Martinez Inc Mfg,1,MV,84.7,326.2
SUP_T1_00342,Anderson Group Mfg,1,LU,77.7,249.9
SUP_T1_00343,Parks-Pace Mfg,1,IT,59.4,422.6
SUP_T1_00344,Aguilar LLC Mfg,1,ST,93.3,476.4
SUP_T1_00345,Johnson Inc Mfg,1,NP,56.8,409.5
SUP_T1_00346,Orr Group Mfg,1,SA,82.7,210.5
SUP_T1_00347,Davis LLC Mfg,1,NP,70.8,421.5
SUP_T1_00348,Williams Group Mfg,1,NP,58.4,287.0
SUP_T1_00349,Jackson PLC Mfg,1,CM,64.6,144.7
SUP_T1_00350,Underwood-Foster Mfg,1,MV,64.4,392.6
SUP_T1_00351,Reyes Group Mfg,1,TV,77.5,65.5
SUP_T1_00352,Gomez and Sons Mfg,1,ME,63.4,276.1
SUP_T1_00353,Ramirez-Stephenson Mfg,1,HN,77.1,380.8
SUP_T1_00354,Mendez PLC Mfg,1,BA,77.3,495.0
SUP_T1_00355,Holland Group Mfg,1,VC,86.8,330.3
SUP_T1_00356,Andrade-Mendoza Mfg,1,YE,64.9,499.7
SUP_T1_00357,Ramirez and Sons Mfg,1,CV,63.1,432.5
SUP_T1_00358,Gonzalez-Wilkerson Mfg,1,UY,72.0,497.0
SUP_T1_00359,"Wright, Mcknight and Stephens Mfg",1,TG,60.5,371.4
SUP_T1_00360,Mayo Ltd Mfg,1,BN,93.1,309.0
SUP_T1_00361,Castillo-Harrington Mfg,1,TN,58.3,78.2
SUP_T1_00362,Durham-Shaw Mfg,1,BD,90.7,404.7
SUP_T1_00363,Nelson-Johnson Mfg,1,BN,76.6,302.5
SUP_T1_00364,"Robinson, Huang and Osborne Mfg",1,GM,66.2,355.0
SUP_T1_00365,Stokes Group Mfg,1,BZ,78.6,476.7
SUP_T1_00366,"Howard, Silva and Hall Mfg",1,TW,99.3,342.9
SUP_T1_00367,Garcia Ltd Mfg,1,TJ,56.8,377.5
SUP_T1_00368,Adams Ltd Mfg,1,KW,95.9,496.3
SUP_T1_00369,Gallagher and Sons Mfg,1,PE,85.1,75.0
SUP_T1_00370,"Bradford, Salinas and Kelly Mfg",1,AF,85.6,416.0
SUP_T1_00371,Thompson PLC Mfg,1,LA,74.5,292.9
